DateTime,Qheating_building_W,Tair_zoneNorth_K,Tair_zoneCore_K,Tair_zoneSouth_K,heatsys1.schedule1.Tset1,heatsys1.schedule1.Tset2,heatsys1.schedule1.Tset3
142200,25000,293.92026,291.0942,294.4799,294.15,291.15,294.15
142800,25000,294.46072,291.44507,293.94345,294.15,291.15,294.15
143400,25000,293.92816,291.30087,294.47992,294.15,291.15,294.15
144000,25000,294.46613,291.17175,293.94632,294.15,291.15,294.15
144600,25000,293.93,291.0575,294.48737,294.15,291.15,294.15
145200,25000,294.46982,291.41098,293.95297,294.15,291.15,294.15
145800,25000,293.93677,291.2698,294.49185,294.15,291.15,294.15
146400,25000,294.47482,291.14334,293.9599,294.15,291.15,294.15
147000,41000,293.9418,291.03104,294.4993,294.15,291.15,294.15
147600,25000,294.48178,291.3595,293.96582,294.15,291.15,294.15
148200,50000,293.94943,291.22125,293.99728,294.15,291.15,294.15
148800,25000,294.48706,291.0995,294.02417,294.15,291.15,294.15
149400,50000,293.9536,291.44577,294.04306,294.15,291.15,294.15
150000,0,294.49258,291.29816,294.06158,294.15,291.15,294.15
150600,50000,293.96332,291.16632,294.13263,294.15,291.15,294.15
151200,16000,294.50177,291.04956,294.13312,291.15,291.15,291.15
151800,0,293.8905,291.37375,293.60022,291.15,291.15,291.15
152400,0,293.40817,291.23206,293.17538,291.15,291.15,291.15
153000,0,293.01193,291.1055,292.8217,291.15,291.15,291.15
153600,0,292.6872,291.44885,292.52707,291.15,291.15,291.15
154200,0,292.41867,291.30048,292.27798,291.15,291.15,291.15
154800,0,292.18295,291.16846,292.0595,291.15,291.15,291.15
155400,16000,291.9717,291.04858,291.86417,291.15,291.15,291.15
156000,0,291.7871,291.37186,291.6935,291.15,291.15,291.15
156600,0,291.62924,291.23065,291.54742,291.15,291.15,291.15
157200,0,291.48822,291.10364,291.41663,291.15,291.15,291.15
157800,0,291.36197,291.44437,291.2991,291.15,291.15,291.15
158400,0,291.25177,291.293,291.196,291.15,291.15,291.15
159000,0,291.15323,291.15823,291.1034,291.15,291.15,291.15
159600,41000,291.0627,291.03613,291.01797,291.15,291.15,291.15
160200,0,291.4908,291.35678,291.40524,291.15,291.15,291.15
160800,0,291.32498,291.21143,291.25003,291.15,291.15,291.15
161400,0,291.1818,291.08353,291.1173,291.15,291.15,291.15
162000,25000,291.0549,291.42245,290.99936,291.15,291.15,291.15
