Elapsed_time_sec,Q_heating,T_day,T_night
99000,4305.28,291.15,293.15
99600,4302.87,291.15,293.15
100200,4300.46,291.15,293.15
100800,4299.32,291.15,293.15
101400,4298.18,291.15,293.15
102000,4298.5,291.15,293.15
102600,4300.11,291.15,293.15
103200,4300.63,291.15,293.15
103800,4300.28,291.15,293.15
104400,4299.53,291.15,293.15
105000,4301.82,291.15,293.15
105600,4299.49,291.15,293.15
106200,4296.51,291.15,293.15
106800,4293.14,291.15,293.15
107400,4290.49,291.15,293.15
108000,4289.35,291.15,293.15
108600,3062.61,290.82,292.48
109200,2169.93,290.48,291.82
109800,1440.38,290.22,291.15
110400,898.89,290.19,290.48
111000,362.61,290.18,289.82
111600,0,290.16,289.21
112200,73.2,290.07,289.15
112800,99.62,289.95,289.15
113400,125.56,289.82,289.15
114000,150.66,289.69,289.15
114600,174.5,289.56,289.15
115200,197.12,289.42,289.15
115800,218.21,289.37,289.15
116400,235.85,289.35,289.15
117000,249.92,289.33,289.15
117600,260.43,289.32,289.15
118200,270.29,289.31,289.15
118800,280.98,289.3,289.15
119400,299.29,289.28,289.15
120000,315.08,289.26,289.15
120600,329.91,289.24,289.15
121200,345.24,289.23,289.15
121800,360.32,289.21,289.15
122400,374.18,289.19,289.15
123000,387.89,289.18,289.15
123600,400.65,289.16,289.15
124200,424.47,289.15,289.15
124800,452.68,289.15,289.15
125400,481.09,289.15,289.15
126000,509.5,289.15,289.15
126600,538.2,289.15,289.15
127200,567.63,289.15,289.15
127800,597.07,289.15,289.15
128400,627.73,289.15,289.15
129000,658.62,289.15,289.15
129600,689.51,289.15,289.15
130200,717.45,289.15,289.15
130800,749.54,289.15,289.15
131400,782.59,289.15,289.15
132000,816.22,289.15,289.15
132600,849.18,289.15,289.15
133200,880.91,289.15,289.15
133800,911.68,289.15,289.15
134400,941.81,289.15,289.15
135000,971.62,289.15,289.15
135600,1001.42,289.15,289.15
136200,1032.11,289.15,289.15
136800,1063.12,289.15,289.15
137400,1094.53,289.15,289.15
138000,1126.97,289.15,289.15
138600,1160.57,289.15,289.15
139200,1194.18,289.15,289.15
139800,1230.09,289.15,289.15
140400,1266.27,289.15,289.15
141000,1302.62,289.15,289.15
141600,1338.01,289.15,289.15
142200,1371.86,289.15,289.15
142800,1405.71,289.15,289.15
143400,1439.56,289.15,289.15
144000,1472.09,289.15,289.15
144600,3065.3,289.98,289.48
145200,4147.74,290.82,289.82
145800,5284.04,291.65,290.15
146400,6496.05,292.48,290.48
147000,7556.92,293.32,290.82
147600,8663.56,294.15,291.15
148200,8272.83,294.15,291.15
148800,8230.68,294.15,291.15
149400,8189.42,294.15,291.15
150000,8148.88,294.15,291.15
150600,8109.03,294.15,291.15
151200,8072.05,294.15,291.15
151800,8036.25,294.15,291.15
152400,8006.46,294.15,291.15
153000,7976.71,294.15,291.15
153600,7947.4,294.15,291.15
154200,7918.28,294.15,291.15
154800,7889.35,294.15,291.15
155400,7860.65,294.15,291.15
156000,7831.11,294.15,291.15
156600,7801.64,294.15,291.15
157200,7772.28,294.15,291.15
157800,7743.16,294.15,291.15
158400,7716.74,294.15,291.15
159000,7690.28,294.15,291.15
159600,7665.64,294.15,291.15
160200,7642.05,294.15,291.15
160800,7619.75,294.15,291.15
161400,7598.25,294.15,291.15
162000,7577.59,294.15,291.15
162600,7264.99,293.65,291.48
163200,7010.64,293.15,291.82
163800,6758.93,292.65,292.15
164400,6510.21,292.15,292.48
165000,6264.22,291.65,292.82
165600,6020.74,291.15,293.15
166200,6069.75,291.15,293.15
166800,6087.47,291.15,293.15
167400,6067.46,291.15,293.15
168000,6081.04,291.15,293.15
168600,6073.62,291.15,293.15
169200,6036.62,291.15,293.15
169800,6070.41,291.15,293.15
170400,6056.34,291.15,293.15
171000,6038.82,291.15,293.15
171600,6020.06,291.15,293.15
172200,6003.49,291.15,293.15
172800,5991.73,291.15,293.15
173400,5363.16,291.15,293.15
174000,5350.63,291.15,293.15
174600,5338.79,291.15,293.15
175200,5327.44,291.15,293.15
175800,5316.08,291.15,293.15
176400,5304.86,291.15,293.15
177000,5294.08,291.15,293.15
177600,5283.47,291.15,293.15
178200,5273.14,291.15,293.15
178800,5263.07,291.15,293.15
179400,5253,291.15,293.15
180000,5243.4,291.15,293.15
180600,5234.48,291.15,293.15
181200,5227.21,291.15,293.15
181800,5221.02,291.15,293.15
182400,5214.23,291.15,293.15
183000,5206.67,291.15,293.15
183600,5197.73,291.15,293.15
184200,5186.5,291.15,293.15
184800,5175.42,291.15,293.15
185400,5164.25,291.15,293.15
186000,5153.08,291.15,293.15
186600,5141.91,291.15,293.15
187200,5130.77,291.15,293.15
187800,5119.71,291.15,293.15
188400,5108.73,291.15,293.15
189000,5097.91,291.15,293.15
189600,5087.09,291.15,293.15
190200,5076.27,291.15,293.15
190800,5065.44,291.15,293.15
191400,5055.56,291.15,293.15
192000,5046.86,291.15,293.15
192600,5038.67,291.15,293.15
193200,5030.96,291.15,293.15
193800,5023.3,291.15,293.15
194400,5014.45,291.15,293.15
195000,3779.18,290.82,292.48
195600,2874.43,290.48,291.82
196200,1977.67,290.15,291.15
196800,1277.42,289.91,290.48
197400,735.16,289.88,289.82
198000,211.38,289.87,289.15
198600,437.12,289.78,289.15
199200,457.18,289.65,289.15
199800,479.65,289.52,289.15
200400,500.9,289.39,289.15
201000,520.52,289.26,289.15
201600,603.51,289.15,289.15
202200,636.76,289.15,289.15
202800,662.78,289.15,289.15
203400,681.85,289.15,289.15
204000,692.88,289.15,289.15
204600,696.68,289.15,289.15
205200,713.38,289.15,289.15
205800,738.09,289.15,289.15
206400,760.21,289.15,289.15
207000,780.86,289.15,289.15
207600,801.41,289.15,289.15
208200,823.11,289.15,289.15
208800,843.93,289.15,289.15
209400,861.78,289.15,289.15
210000,879.78,289.15,289.15
210600,898.33,289.15,289.15
211200,916.87,289.15,289.15
211800,935.78,289.15,289.15
212400,954.77,289.15,289.15
213000,973.21,289.15,289.15
213600,990.65,289.15,289.15
214200,1007.99,289.15,289.15
214800,1025.46,289.15,289.15
215400,1043.75,289.15,289.15
216000,1063.45,289.15,289.15
216600,1082.49,289.15,289.15
217200,1102.86,289.15,289.15
217800,1123.06,289.15,289.15
218400,1143.25,289.15,289.15
219000,1163.47,289.15,289.15
219600,1183.7,289.15,289.15
220200,1204,289.15,289.15
220800,1225.46,289.15,289.15
221400,1247.2,289.15,289.15
222000,1268.93,289.15,289.15
222600,1290.67,289.15,289.15
223200,1312.58,289.15,289.15
223800,1337,289.15,289.15
224400,1363.74,289.15,289.15
225000,1392.36,289.15,289.15
225600,1422.35,289.15,289.15
226200,1453.87,289.15,289.15
226800,1485.72,289.15,289.15
227400,1518.23,289.15,289.15
228000,1550.87,289.15,289.15
228600,1581.77,289.15,289.15
229200,1610.89,289.15,289.15
229800,1639,289.15,289.15
230400,1666.12,289.15,289.15
231000,3200.26,289.98,289.48
231600,4348.7,290.82,289.82
232200,5485.02,291.65,290.15
232800,6611.28,292.48,290.48
233400,7727.51,293.32,290.82
234000,8828.82,294.15,291.15
234600,8410.01,294.15,291.15
235200,8360.29,294.15,291.15
235800,8310.87,294.15,291.15
236400,8262.14,294.15,291.15
237000,8216.04,294.15,291.15
237600,8173.84,294.15,291.15
238200,8133.02,294.15,291.15
238800,8097.19,294.15,291.15
239400,8064.66,294.15,291.15
240000,8032.98,294.15,291.15
240600,8001.63,294.15,291.15
241200,7970.28,294.15,291.15
241800,7939.47,294.15,291.15
242400,7909.02,294.15,291.15
243000,7878.85,294.15,291.15
243600,7849.02,294.15,291.15
244200,7820.84,294.15,291.15
244800,7792.66,294.15,291.15
245400,7765.99,294.15,291.15
246000,7741.59,294.15,291.15
246600,7718.2,294.15,291.15
247200,7695.54,294.15,291.15
247800,7672.86,294.15,291.15
248400,7650.16,294.15,291.15
249000,7332.32,293.65,291.48
249600,7068.25,293.15,291.82
250200,6805.64,292.65,292.15
250800,6545.25,292.15,292.48
251400,6289.06,291.65,292.82
252000,6037.85,291.15,293.15
252600,6086.33,291.15,293.15
253200,6085.68,291.15,293.15
253800,6087.09,291.15,293.15
254400,6088.57,291.15,293.15
255000,6089.7,291.15,293.15
255600,6087.11,291.15,293.15
256200,6080.44,291.15,293.15
256800,6070.49,291.15,293.15
257400,6059.71,291.15,293.15
258000,6049.58,291.15,293.15
258600,6039.9,291.15,293.15
259200,6035.72,291.15,293.15
259800,5414.53,291.15,293.15
260400,5410.22,291.15,293.15
261000,5406.23,291.15,293.15
261600,5402.85,291.15,293.15
262200,5399.66,291.15,293.15
262800,5397.24,291.15,293.15
263400,5396.01,291.15,293.15
264000,5395.09,291.15,293.15
264600,5394.52,291.15,293.15
265200,5394.1,291.15,293.15
265800,5392.28,291.15,293.15
266400,5390.01,291.15,293.15
267000,5386.9,291.15,293.15
267600,5384.49,291.15,293.15
268200,5382.14,291.15,293.15
268800,5380.26,291.15,293.15
269400,5378.44,291.15,293.15
270000,5376,291.15,293.15
270600,5373.36,291.15,293.15
271200,5369.72,291.15,293.15
271800,5366.07,291.15,293.15
272400,5362.66,291.15,293.15
273000,5359.34,291.15,293.15
273600,5356.02,291.15,293.15
274200,5353.97,291.15,293.15
274800,5352.68,291.15,293.15
275400,5351.45,291.15,293.15
276000,5350.17,291.15,293.15
276600,5348.81,291.15,293.15
277200,5347.41,291.15,293.15
277800,5346.29,291.15,293.15
278400,5344.68,291.15,293.15
279000,5343.08,291.15,293.15
279600,5341.69,291.15,293.15
280200,5340.29,291.15,293.15
280800,5338.89,291.15,293.15
281400,4111.93,290.82,292.48
282000,3218.11,290.48,291.82
282600,2333.13,290.15,291.15
283200,1470.85,289.82,290.48
283800,933.5,289.71,289.82
284400,404.17,289.7,289.15
285000,641.75,289.6,289.15
285600,627.69,289.47,289.15
286200,693.37,289.34,289.15
286800,717.61,289.2,289.15
287400,868.02,289.15,289.15
288000,1027.17,289.15,289.15
288600,1060.61,289.15,289.15
289200,1077.34,289.15,289.15
289800,1079.46,289.15,289.15
290400,1065.99,289.15,289.15
291000,1031.29,289.15,289.15
291600,1047.14,289.15,289.15
292200,1073.76,289.15,289.15
292800,1096.45,289.15,289.15
293400,1116.38,289.15,289.15
294000,1145.92,289.15,289.15
294600,1175.97,289.15,289.15
295200,1201.63,289.15,289.15
295800,1224.06,289.15,289.15
296400,1244.68,289.15,289.15
297000,1263.74,289.15,289.15
297600,1282.16,289.15,289.15
298200,1300.01,289.15,289.15
298800,1317.39,289.15,289.15
299400,1334.17,289.15,289.15
300000,1350.85,289.15,289.15
300600,1367.54,289.15,289.15
301200,1385.26,289.15,289.15
301800,1403.49,289.15,289.15
302400,1421.72,289.15,289.15
303000,1441,289.15,289.15
303600,1461.11,289.15,289.15
304200,1481.48,289.15,289.15
304800,1501.84,289.15,289.15
305400,1522.31,289.15,289.15
306000,1543.6,289.15,289.15
306600,1566.42,289.15,289.15
307200,1592.1,289.15,289.15
307800,1620.26,289.15,289.15
308400,1650.24,289.15,289.15
309000,1681.32,289.15,289.15
309600,1713.13,289.15,289.15
310200,1744.77,289.15,289.15
310800,1778.59,289.15,289.15
311400,1813.92,289.15,289.15
312000,1850.68,289.15,289.15
312600,1890.49,289.15,289.15
313200,1931.13,289.15,289.15
313800,1971.18,289.15,289.15
314400,2010.32,289.15,289.15
315000,2049.45,289.15,289.15
315600,2085.69,289.15,289.15
316200,2119.49,289.15,289.15
316800,2152.4,289.15,289.15
317400,3686.35,289.98,289.48
318000,4891.88,290.82,289.82
318600,6010.51,291.65,290.15
319200,7135.44,292.48,290.48
319800,8261.5,293.32,290.82
320400,9376.06,294.15,291.15
321000,9024.96,294.15,291.15
321600,8905.78,294.15,291.15
322200,8801.19,294.15,291.15
322800,8863.34,294.15,291.15
323400,8761.3,294.15,291.15
324000,8837.59,294.15,291.15
324600,8727.77,294.15,291.15
325200,8703.44,294.15,291.15
325800,8680.31,294.15,291.15
326400,8657.98,294.15,291.15
327000,8636.26,294.15,291.15
327600,8614.82,294.15,291.15
328200,8594.1,294.15,291.15
328800,8573.23,294.15,291.15
329400,8553.06,294.15,291.15
330000,8533.69,294.15,291.15
330600,8515.08,294.15,291.15
331200,8496.88,294.15,291.15
331800,8480.53,294.15,291.15
332400,8462.73,294.15,291.15
333000,8445.17,294.15,291.15
333600,8428.16,294.15,291.15
334200,8412.19,294.15,291.15
334800,8398.01,294.15,291.15
335400,8086.82,293.65,291.48
336000,7841.61,293.15,291.82
336600,7595.64,292.65,292.15
337200,7352.34,292.15,292.48
337800,7111.57,291.65,292.82
338400,6873.82,291.15,293.15
339000,6938.48,291.15,293.15
339600,6934.62,291.15,293.15
340200,6937.68,291.15,293.15
340800,6941.03,291.15,293.15
341400,6944.39,291.15,293.15
342000,6948.65,291.15,293.15
342600,6953.09,291.15,293.15
343200,6958.97,291.15,293.15
343800,6965.47,291.15,293.15
344400,6972.5,291.15,293.15
345000,6979.31,291.15,293.15
345600,6985.92,291.15,293.15
346200,6369.15,291.15,293.15
346800,6372.43,291.15,293.15
347400,6374.45,291.15,293.15
348000,6376.96,291.15,293.15
348600,6379.46,291.15,293.15
349200,6382.26,291.15,293.15
349800,6385.15,291.15,293.15
350400,6390.1,291.15,293.15
351000,6395.45,291.15,293.15
351600,6401.15,291.15,293.15
352200,6406.27,291.15,293.15
352800,6409.93,291.15,293.15
353400,6413.21,291.15,293.15
354000,6414.05,291.15,293.15
354600,6415.05,291.15,293.15
355200,6416.59,291.15,293.15
355800,6418.36,291.15,293.15
356400,6420.36,291.15,293.15
357000,6422.48,291.15,293.15
357600,6426.43,291.15,293.15
358200,6430.8,291.15,293.15
358800,6435.18,291.15,293.15
359400,6439.55,291.15,293.15
360000,6443.68,291.15,293.15
360600,6448.48,291.15,293.15
361200,6452.02,291.15,293.15
361800,6455.29,291.15,293.15
362400,6458.65,291.15,293.15
363000,6462.68,291.15,293.15
363600,6466.96,291.15,293.15
364200,6471.69,291.15,293.15
364800,6476.31,291.15,293.15
365400,6480.84,291.15,293.15
366000,6485.37,291.15,293.15
366600,6489.89,291.15,293.15
367200,6494.24,291.15,293.15
367800,5273.21,290.82,292.48
368400,4382.81,290.48,291.82
369000,3503.15,290.15,291.15
369600,2637.62,289.82,290.48
370200,1779.74,289.48,289.82
370800,1062.61,289.2,289.15
371400,1476.14,289.15,289.15
372000,1630.31,289.15,289.15
372600,1795.88,289.15,289.15
373200,1892.64,289.15,289.15
373800,2046.89,289.15,289.15
374400,2139.48,289.15,289.15
375000,2087.77,289.15,289.15
375600,2006.09,289.15,289.15
376200,1919.56,289.15,289.15
376800,1830.71,289.15,289.15
377400,1730.51,289.15,289.15
378000,1692.98,289.15,289.15
378600,1679.04,289.15,289.15
379200,1628.87,289.15,289.15
379800,1572.59,289.15,289.15
380400,1526.17,289.15,289.15
381000,1484.8,289.15,289.15
381600,1437.67,289.15,289.15
382200,1387.61,289.15,289.15
382800,1324.74,289.15,289.15
383400,1262.61,289.15,289.15
384000,1216.88,289.15,289.15
384600,1178.34,289.15,289.15
385200,1155.69,289.15,289.15
385800,1146.15,289.15,289.15
386400,1125.27,289.15,289.15
387000,1101.55,289.15,289.15
387600,1076.5,289.15,289.15
388200,1034.16,289.15,289.15
388800,995.32,289.15,289.15
389400,967.53,289.15,289.15
390000,947.85,289.15,289.15
390600,940.36,289.15,289.15
391200,941.66,289.15,289.15
391800,951.32,289.15,289.15
392400,973.29,289.15,289.15
393000,984.74,289.15,289.15
393600,999.78,289.15,289.15
394200,1016.29,289.15,289.15
394800,1035.93,289.15,289.15
395400,1072.15,289.15,289.15
396000,1107.15,289.15,289.15
396600,1144.17,289.15,289.15
397200,1189.61,289.15,289.15
397800,1239.74,289.15,289.15
398400,1300.15,289.15,289.15
399000,1375.04,289.15,289.15
399600,1457.1,289.15,289.15
400200,1539.84,289.15,289.15
400800,1616.35,289.15,289.15
401400,1681.57,289.15,289.15
402000,1732.55,289.15,289.15
402600,1780.23,289.15,289.15
403200,1824.38,289.15,289.15
403800,3351.71,289.98,289.48
404400,4577.3,290.82,289.82
405000,5721.12,291.65,290.15
405600,6780.89,292.48,290.48
406200,8023.61,293.32,290.82
406800,9107.58,294.15,291.15
407400,8692.54,294.15,291.15
408000,8649.49,294.15,291.15
408600,8611.88,294.15,291.15
409200,8574.43,294.15,291.15
409800,8538.4,294.15,291.15
410400,8503.28,294.15,291.15
411000,8480.96,294.15,291.15
411600,8460.09,294.15,291.15
412200,8439.22,294.15,291.15
412800,8418.61,294.15,291.15
413400,8399.07,294.15,291.15
414000,8379.52,294.15,291.15
414600,8359.99,294.15,291.15
415200,8340.55,294.15,291.15
415800,8321.71,294.15,291.15
416400,8302.88,294.15,291.15
417000,8285.26,294.15,291.15
417600,8268.05,294.15,291.15
418200,8251.18,294.15,291.15
418800,8235.05,294.15,291.15
419400,8219.87,294.15,291.15
420000,8204.74,294.15,291.15
420600,8190.75,294.15,291.15
421200,8176.76,294.15,291.15
421800,7869.9,293.65,291.48
422400,7619.91,293.15,291.82
423000,7372.81,292.65,292.15
423600,7128.53,292.15,292.48
424200,6887.04,291.65,292.82
424800,6648.5,291.15,293.15
425400,6704.34,291.15,293.15
426000,6705.33,291.15,293.15
426600,6706.08,291.15,293.15
427200,6707.06,291.15,293.15
427800,6708.96,291.15,293.15
428400,6712.72,291.15,293.15
429000,6716.98,291.15,293.15
429600,6721.98,291.15,293.15
430200,6727.57,291.15,293.15
430800,6733.18,291.15,293.15
431400,6739,291.15,293.15
432000,6745.36,291.15,293.15
432600,6137,291.15,293.15
433200,6130.69,291.15,293.15
433800,6132.52,291.15,293.15
434400,6134.52,291.15,293.15
435000,6136.93,291.15,293.15
435600,6139.49,291.15,293.15
436200,6142.2,291.15,293.15
436800,6145.16,291.15,293.15
437400,6148.41,291.15,293.15
438000,6151.66,291.15,293.15
438600,6154.9,291.15,293.15
439200,6156.69,291.15,293.15
439800,6160.38,291.15,293.15
440400,6161.08,291.15,293.15
441000,6160.31,291.15,293.15
441600,6160.2,291.15,293.15
442200,6160.51,291.15,293.15
442800,6161.09,291.15,293.15
443400,6160.95,291.15,293.15
444000,6162.82,291.15,293.15
444600,6164.69,291.15,293.15
445200,6166.5,291.15,293.15
445800,6167.92,291.15,293.15
446400,6169.35,291.15,293.15
447000,6170.71,291.15,293.15
447600,6173.35,291.15,293.15
448200,6176.51,291.15,293.15
448800,6179.91,291.15,293.15
449400,6182.57,291.15,293.15
450000,6184.82,291.15,293.15
450600,6186.59,291.15,293.15
451200,6187.65,291.15,293.15
451800,6188.71,291.15,293.15
452400,6189.86,291.15,293.15
453000,6191.34,291.15,293.15
453600,6192.82,291.15,293.15
454200,4920.77,290.82,292.48
454800,4024.95,290.48,291.82
455400,3236.65,290.15,291.15
456000,2328.29,289.82,290.48
456600,1434.41,289.48,289.82
457200,891.2,289.33,289.15
457800,1132.35,289.22,289.15
458400,1262.68,289.15,289.15
459000,1427.58,289.15,289.15
459600,1590.71,289.15,289.15
460200,1751.75,289.15,289.15
460800,1908.42,289.15,289.15
461400,1948.86,289.15,289.15
462000,1979.57,289.15,289.15
462600,2007.48,289.15,289.15
463200,2033.43,289.15,289.15
463800,2060.02,289.15,289.15
464400,2101.99,289.15,289.15
465000,2147.58,289.15,289.15
465600,2190.36,289.15,289.15
466200,2232.07,289.15,289.15
466800,2272.86,289.15,289.15
467400,2312.66,289.15,289.15
468000,2352.17,289.15,289.15
468600,2390.97,289.15,289.15
469200,2429.73,289.15,289.15
469800,2468.5,289.15,289.15
470400,2507.26,289.15,289.15
471000,2544.85,289.15,289.15
471600,2581.19,289.15,289.15
472200,2616.07,289.15,289.15
472800,2649.28,289.15,289.15
473400,2678.69,289.15,289.15
474000,2692.05,289.15,289.15
474600,2681.46,289.15,289.15
475200,2642.5,289.15,289.15
475800,2597.81,289.15,289.15
476400,2555.27,289.15,289.15
477000,2533.82,289.15,289.15
477600,2530.25,289.15,289.15
478200,2532.6,289.15,289.15
478800,2541.95,289.15,289.15
479400,2555.81,289.15,289.15
480000,2570.25,289.15,289.15
480600,2585.12,289.15,289.15
481200,2600.08,289.15,289.15
481800,2614.58,289.15,289.15
482400,2628.98,289.15,289.15
483000,2644.59,289.15,289.15
483600,2664.27,289.15,289.15
484200,2690.92,289.15,289.15
484800,2724.56,289.15,289.15
485400,2772.34,289.15,289.15
486000,2824.85,289.15,289.15
486600,2881.29,289.15,289.15
487200,2937.39,289.15,289.15
487800,2985.39,289.15,289.15
488400,3026.15,289.15,289.15
489000,3062.91,289.15,289.15
489600,3095.34,289.15,289.15
490200,4588.45,289.98,289.48
490800,5856.56,290.82,289.82
491400,6947.31,291.65,290.15
492000,8074.95,292.48,290.48
492600,9131.27,293.32,290.82
493200,10388.96,294.15,291.15
493800,9897.69,294.15,291.15
494400,9853.68,294.15,291.15
495000,9809.93,294.15,291.15
495600,9766.74,294.15,291.15
496200,9725.68,294.15,291.15
496800,9684.62,294.15,291.15
497400,9649.39,294.15,291.15
498000,9618.3,294.15,291.15
498600,9587.35,294.15,291.15
499200,9557.32,294.15,291.15
499800,9527.67,294.15,291.15
500400,9498.4,294.15,291.15
501000,9469.76,294.15,291.15
501600,9443.06,294.15,291.15
502200,9416.86,294.15,291.15
502800,9390.99,294.15,291.15
503400,9365.31,294.15,291.15
504000,9339.74,294.15,291.15
504600,9315.32,294.15,291.15
505200,9289.5,294.15,291.15
505800,9264.7,294.15,291.15
506400,9239.9,294.15,291.15
507000,9215.75,294.15,291.15
507600,9193.28,294.15,291.15
508200,8871.9,293.65,291.48
508800,8617.62,293.15,291.82
509400,8361.5,292.65,292.15
510000,8108.07,292.15,292.48
510600,7856.44,291.65,292.82
511200,7607.9,291.15,293.15
511800,7655.1,291.15,293.15
512400,7646.44,291.15,293.15
513000,7643.93,291.15,293.15
513600,7659.41,291.15,293.15
514200,7609.74,291.15,293.15
514800,7644.58,291.15,293.15
515400,7626.87,291.15,293.15
516000,7617.94,291.15,293.15
516600,7608.3,291.15,293.15
517200,7598.23,291.15,293.15
517800,7587.9,291.15,293.15
518400,7579.19,291.15,293.15
519000,6951.26,291.15,293.15
519600,6942.22,291.15,293.15
520200,6934.46,291.15,293.15
520800,6926.42,291.15,293.15
521400,6917.94,291.15,293.15
522000,6907.21,291.15,293.15
522600,6895.47,291.15,293.15
523200,6882.92,291.15,293.15
523800,6870.39,291.15,293.15
524400,6857.98,291.15,293.15
525000,6845.57,291.15,293.15
525600,6834.16,291.15,293.15
526200,6823.03,291.15,293.15
526800,6812.25,291.15,293.15
527400,6801.61,291.15,293.15
528000,6791.59,291.15,293.15
528600,6781.57,291.15,293.15
