Time,HeatInjection,HeatLosses
438300,113908,3761.03
439200,114130,3761.19
440100,114297,3760.93
441000,114384,3760.73
441900,114424,3760.64
442800,114488,3760.83
443700,114625,3761.23
444600,114811,3761.52
445500,115060,3761.91
446400,115303,3761.96
447300,115517,3762
448200,115729,3762.13
449100,115943,3762.27
450000,116161,3762.41
450900,116375,3762.51
451800,116575,3762.58
452700,116751,3762.58
453600,116914,3762.65
454500,117062,3762.65
455400,117171,3762.55
456300,117311,3762.93
457200,59003.9,3089.7
458100,930.077,316.121
459000,950.694,715.303
459900,970.726,965.893
460800,990.188,1181.58
461700,1008.13,1346.24
462600,1023.84,1412.55
463500,1042.73,1474.9
464400,1062.59,1537.52
465300,1081.95,1598.9
466200,1100.49,1657.89
467100,1117.44,1693.91
468000,1136.85,1704.27
468900,1153.8,1713.6
469800,1168.51,1722.99
470700,1181.89,1732.64
471600,1194.22,1743.19
472500,1205.28,1753.95
473400,1214.96,1765.94
474300,1223.34,1778.93
475200,1230.66,1792.48
476100,1237.18,1805.98
477000,1243.15,1819.18
477900,1248.71,1832.19
478800,1253.91,1845.05
479700,1258.73,1857.73
480600,1263.19,1870.12
481500,1267.32,1882.11
482400,1271.2,1893.6
483300,1274.88,1904.5
484200,1278.44,1914.53
485100,1281.92,1914.27
486000,1285.34,1906.06
486900,1288.73,1903.92
487800,1292.1,1895.24
488700,1295.45,1883.83
489600,7501.62,9631.08
490500,10841.8,7663.9
491400,13010.5,7413.13
492300,15299.9,5978.09
493200,199598,14691.2
494100,282932,3722.66
495000,241234,3795.34
495900,236771,3797.73
496800,233565,3797.78
497700,231329,3798.24
498600,229574,3798.17
499500,228236,3798.34
500400,227149,3798.28
501300,226326,3798.41
502200,225665,3798.39
503100,225135,3798.41
504000,224651,3798.33
504900,224173,3798.22
505800,223697,3798.12
506700,223248,3798.07
507600,222850,3798.04
508500,222521,3798.04
509400,222214,3797.99
510300,213748,3789.93
511200,185077,3730.92
512100,162110,3777.8
513000,162367,3782.82
513900,156196,3744.99
514800,142881,3748.58
515700,152088,3776.85
516600,149455,3771.79
517500,147288,3772.08
518400,145401,3771.71
519300,143766,3771.58
520200,142270,3771.14
521100,140897,3770.81
522000,139588,3770.29
522900,138386,3770.09
523800,137307,3769.85
524700,136336,3769.67
525600,135443,3769.41
526500,134644,3769.3
527400,133908,3769.07
528300,133216,3768.83
529200,132526,3768.45
530100,131804,3767.98
531000,131137,3767.9
531900,130564,3767.86
532800,130029,3767.66
533700,129523,3767.5
534600,129046,3767.32
535500,128607,3767.22
536400,128198,3767.09
537300,127825,3767.01
538200,127476,3766.88
539100,127154,3766.81
540000,126852,3766.7
540900,126617,3766.9
541800,126471,3767.06
542700,126393,3767.18
543600,63417.7,3117.98
544500,927.851,310.984
545400,948.538,711.937
546300,968.637,963.399
547200,988.164,1179.85
548100,1006.43,1345.77
549000,1021.92,1412.02
549900,1040.88,1474.22
550800,1060.8,1537.07
551700,1080.22,1598.7
552600,1098.82,1658
553500,1115.81,1694.36
554400,1135.29,1705.11
555300,1152.31,1714.45
556200,1167.07,1723.47
557100,1180.5,1732.43
558000,1192.87,1743.29
558900,1203.98,1754.67
559800,1213.7,1766.89
560700,1222.12,1779.9
561600,1229.47,1793.48
562500,1236.03,1807.01
563400,1242.03,1820.23
564300,1247.62,1833.27
565200,1252.85,1846.17
566100,1257.7,1858.87
567000,1262.18,1871.29
567900,1266.34,1883.31
568800,1270.23,1894.85
569700,1273.94,1905.79
570600,1277.52,1915.88
571500,1281.02,1915.69
572400,1284.46,1907.45
573300,1287.87,1905.33
574200,1291.26,1896.66
575100,2732.72,4019.15
576000,8035.53,8258.67
576900,10742.7,7019.94
577800,12649.3,6824.83
578700,14989.5,5656.39
579600,199852,14027.7
580500,282411,3722.04
581400,240429,3795.23
582300,235876,3797.44
583200,232614,3797.52
584100,230415,3798.12
585000,228768,3798.12
585900,227572,3798.34
586800,226599,3798.27
587700,225772,3798.23
588600,225005,3798.11
589500,224317,3798.07
590400,223715,3798.02
591300,223230,3798.05
592200,222805,3798
593100,222432,3797.98
594000,222086,3797.92
594900,221761,3797.88
595800,221455,3797.83
596700,221179,3797.81
597600,187935,3720.98
598500,162077,3777.23
599400,162364,3782.86
600300,155203,3738.73
601200,158259,3815.65
602100,155281,3773.41
603000,152640,3773.43
603900,150514,3773.65
604800,148688,3773.39
604800,148688,3773.39
