Time,HeatInjection,HeatLosses
335700,194220,3796.15
336600,190058,3794.8
337500,186371,3793.13
338400,172306,3790.17
339300,161882,3786.04
340200,162040,3784.44
341100,140454,3779.02
342000,132811,3774
342900,127793,3770.51
343800,131899,3769.64
344700,131343,3770.38
345600,130785,3770.47
346500,130311,3770.28
347400,129891,3770.06
348300,129515,3769.85
349200,129154,3769.66
350100,128839,3769.47
351000,128580,3769.31
351900,128352,3769.15
352800,128102,3769
353700,127787,3768.84
354600,127462,3768.72
355500,127161,3768.65
356400,126929,3768.58
357300,126897,3768.51
358200,127052,3768.44
359100,127281,3768.44
360000,127448,3768.46
360900,127480,3768.48
361800,127436,3768.5
362700,127324,3768.52
363600,127271,3768.53
364500,127374,3768.54
365400,127539,3768.62
366300,127741,3768.71
367200,127939,3768.79
368100,128092,3768.88
369000,128203,3768.95
369900,128300,3769.01
370800,64567.8,3752.62
371700,929.27,3637.09
372600,950.143,3480.85
373500,970.525,3343.77
374400,990.763,3222.73
375300,1011.72,3115.57
376200,1034.45,3020.36
377100,1059.43,2935.49
378000,1086.26,2859.52
378900,1114,2791.22
379800,1141.58,2729.56
380700,1167.99,2673.65
381600,1192.43,2622.75
382500,1214.32,2576.23
383400,1233.39,2533.52
384300,1249.67,2494.08
385200,1263.38,2457.45
386100,1274.85,2423.24
387000,1284.5,2391.1
387900,1292.69,2360.78
388800,1299.76,2332.05
389700,1305.99,2304.76
390600,1311.6,2278.75
391500,1316.75,2253.93
392400,1321.56,2230.2
393300,1326.14,2207.51
394200,1330.56,2185.77
395100,1334.9,2164.96
396000,1339.17,2145.02
396900,1343.42,2125.91
397800,1347.64,2107.61
398700,1351.84,2090.07
399600,1356.04,2073.28
400500,1360.21,2057.2
401400,1364.36,2041.81
402300,1368.46,2027.07
403200,1372.51,2012.97
404100,1376.49,1999.47
405000,1380.39,1986.55
405900,1384.21,1974.19
406800,193820,3163.8
407700,221826,3730.27
408600,202948,3797.52
409500,201497,3797.86
410400,200682,3797.61
411300,200257,3797.43
412200,200005,3797.34
413100,199909,3797.32
414000,199929,3797.31
414900,200100,3797.32
415800,200372,3797.22
416700,192450,3795.66
417600,186994,3793.96
418500,182354,3792.41
419400,178150,3790.98
420300,174404,3789.65
421200,170958,3788.39
422100,167820,3787.21
423000,164893,3786.1
423900,162192,3785.31
424800,160840,3784.81
425700,162041,3784.56
426600,162129,3783.32
427500,128794,3775.74
428400,122755,3769.24
429300,118344,3765.27
430200,114771,3762.4
431100,111910,3760.14
432000,109430,3758.34
432900,110314,3757.33
433800,112802,3758.23
434700,112990,3759
435600,113177,3759.42
436500,113371,3759.68
437400,113575,3759.87
438300,113790,3760.03
439200,114011,3760.18
440100,114180,3760.28
441000,114267,3760.35
441900,114306,3760.42
442800,114369,3760.5
443700,114503,3760.59
444600,114686,3760.73
445500,114934,3760.86
446400,115178,3761
447300,115392,3761.13
448200,115604,3761.27
449100,115817,3761.41
450000,116034,3761.55
450900,116248,3761.69
451800,116447,3761.82
452700,116624,3761.95
453600,116786,3762.06
454500,116934,3762.16
455400,117042,3762.25
456300,117181,3762.34
457200,59042.4,3744.54
458100,932.409,3627.51
459000,953.186,3471.95
459900,973.474,3335.5
460800,993.624,3215.03
461700,1014.53,3108.36
462600,1037.24,3013.61
463500,1062.18,2929.14
464400,1088.94,2853.53
465300,1116.59,2785.56
466200,1144.06,2724.18
467100,1170.35,2668.52
468000,1194.64,2617.86
468900,1216.39,2571.55
469800,1235.34,2529.03
470700,1251.51,2489.77
471600,1265.11,2453.31
472500,1276.5,2419.25
473400,1286.08,2387.25
474300,1294.2,2357.06
475200,1301.22,2328.46
476100,1307.4,2301.28
477000,1312.96,2275.39
477900,1318.06,2250.67
478800,1322.83,2227.04
479700,1327.37,2204.44
480600,1331.77,2182.8
481500,1336.07,2162.07
482400,1340.32,2142.21
483300,1344.54,2123.18
484200,1348.74,2104.95
485100,1352.93,2087.49
486000,1357.12,2070.76
486900,1361.28,2054.74
487800,1365.4,2039.42
488700,1369.47,2024.75
489600,7907.27,2115.38
490500,11329.4,2447.46
491400,13387.6,2650.07
492300,15979.6,2782.85
493200,202512,3232.15
494100,279500,3808.55
495000,240026,3809.26
495900,235640,3807.5
496800,232480,3806.61
497700,230272,3805.98
498600,228539,3805.5
499500,227222,3805.11
500400,226152,3804.79
501300,225340,3804.56
502200,224691,3804.35
503100,224171,3804.18
504000,223693,3804.05
504900,223222,3803.92
505800,222752,3803.79
506700,222307,3803.68
507600,221914,3803.57
508500,221588,3803.48
509400,221302,3803.25
510300,212922,3801.64
511200,184532,3796.19
512100,161760,3787.01
513000,162028,3784.63
513900,155868,3783.88
514800,142610,3779.47
515700,151814,3779.5
516600,149187,3779.53
517500,147032,3778.76
518400,145150,3777.93
519300,143522,3777.16
520200,142031,3776.47
521100,140666,3775.81
522000,139365,3775.15
522900,138166,3774.58
523800,137092,3774.04
524700,136127,3773.49
525600,135237,3773.05
526500,134442,3772.62
527400,133711,3772.19
528300,133025,3771.8
529200,132339,3771.42
530100,131621,3771.05
531000,130956,3770.71
531900,130384,3770.38
532800,129852,3770.07
533700,129348,3769.78
534600,128874,3769.51
535500,128436,3769.26
536400,128029,3769.03
537300,127657,3768.82
538200,127309,3768.61
539100,126988,3768.43
540000,126687,3768.26
540900,126453,3768.1
541800,126308,3767.99
542700,126230,3767.92
543600,63417.6,3751.38
544500,929.853,3635.76
545400,950.724,3479.66
546300,971.116,3342.62
547200,991.371,3221.61
548100,1012.32,3114.47
549000,1035.02,3019.28
549900,1059.95,2934.43
550800,1086.72,2858.48
551700,1114.4,2790.21
552600,1141.94,2728.56
553500,1168.33,2672.67
554400,1192.75,2621.79
555300,1214.63,2575.28
556200,1233.7,2532.57
557100,1249.98,2493.15
558000,1263.67,2456.54
558900,1275.15,2422.34
559800,1284.8,2390.22
560700,1293.01,2359.92
561600,1300.11,2331.21
562500,1306.34,2303.93
563400,1311.93,2277.94
564300,1317.07,2253.13
565200,1321.87,2229.42
566100,1326.44,2206.74
567000,1330.87,2185.02
567900,1335.2,2164.22
568800,1339.48,2144.29
569700,1343.73,2125.2
570600,1347.95,2106.91
571500,1352.14,2089.4
572400,1356.33,2072.62
573300,1360.49,2056.55
574200,1364.63,2041.16
575100,2887.58,2034.36
576000,8486.21,2273.62
576900,11013.7,2527.33
577800,13163.3,2677.69
578700,15570.1,2797.88
579600,202928,3230.13
580500,279027,3808.62
581400,239237,3809.03
582300,234760,3807.27
583200,231538,3806.39
584100,229369,3805.75
585000,227747,3805.26
585900,226570,3804.91
586800,225613,3804.61
587700,224798,3804.38
588600,224043,3804.16
589500,223362,3803.98
590400,222768,3803.82
591300,222289,3803.68
592200,221871,3803.55
593100,221504,3803.44
594000,221162,3803.34
594900,220841,3803.26
595800,220538,3803.18
596700,220320,3802.61
597600,187382,3797.59
598500,161661,3787.94
599400,162025,3784.62
600300,154887,3783.66
601200,157955,3781.49
602100,154977,3781.91
603000,152352,3781.11
603900,150234,3780.2
604800,148418,3779.36
604800,148418,3779.36
