DateTime,Qheating_building_W,Tair_zoneNorth_K,Tair_zoneCore_K,Tair_zoneSouth_K
193200,36985.582,294.14136,291.14856,294.1414
193800,37032.8,294.14136,291.14856,294.1414
194400,37078.863,294.14136,291.14856,294.1414
195000,37122.67,294.14136,291.14856,294.1414
195600,37163.12,294.14133,291.14856,294.14136
196200,37199.11,294.14133,291.14853,294.14136
196800,37229.53,294.14133,291.14853,294.14136
197400,37253.285,294.14133,291.14853,294.14136
198000,37269.27,294.14133,291.14853,294.14136
198600,35811.992,294.1417,291.14853,294.14172
199200,34609.78,294.142,291.1485,294.14203
199800,33640.383,294.14227,291.1485,294.14227
200400,32881.55,294.14246,291.1485,294.14246
201000,32311.03,294.14258,291.1485,294.1426
201600,31906.568,294.14267,291.1485,294.14273
202200,31645.916,294.14273,291.1485,294.14282
202800,31506.824,294.14276,291.1485,294.14285
203400,31467.037,294.14276,291.1485,294.14288
204000,31504.309,294.14273,291.1485,294.14288
204600,31596.383,294.1427,291.1485,294.14288
205200,31721.012,294.14264,291.1485,294.14285
205800,31855.941,294.1426,291.1485,294.14282
206400,31978.926,294.14255,291.1485,294.14282
207000,32067.71,294.14252,291.1485,294.1428
207600,32100.047,294.14252,291.1485,294.1428
208200,32053.686,294.14252,291.1485,294.1428
208800,31906.373,294.14255,291.14853,294.14282
209400,31635.863,294.14264,291.14853,294.14288
210000,31219.906,294.14276,291.14853,294.14297
210600,30857.928,294.14285,291.14853,294.14304
211200,30763.285,294.14288,291.14853,294.14307
211800,30669.445,294.1429,291.14853,294.14307
212400,30578.299,294.14294,291.14856,294.14307
213000,30491.736,294.14297,291.14856,294.1431
213600,30411.648,294.143,291.14856,294.1431
214200,30339.924,294.143,291.14856,294.14313
214800,30278.457,294.14304,291.14856,294.14313
215400,30229.137,294.14304,291.14856,294.14313
216000,30193.854,294.14307,291.14856,294.14316
216600,30172.54,294.14307,291.14856,294.14316
217200,30139.852,294.14307,291.14856,294.14316
217800,30101.533,294.1431,291.14856,294.14316
218400,30058.68,294.1431,291.14856,294.1432
219000,30012.393,294.1431,291.14856,294.1432
219600,29963.764,294.14313,291.14856,294.1432
220200,29913.895,294.14313,291.14856,294.14322
220800,29863.879,294.14316,291.14856,294.14322
221400,29814.816,294.14316,291.14856,294.14325
222000,29767.803,294.1432,291.14856,294.14325
222600,29723.936,294.1432,291.14856,294.14325
223200,29681.16,294.1432,291.14856,294.14328
223800,29678.418,294.14322,291.14856,294.14328
224400,29716.084,294.1432,291.14856,294.14325
225000,29789.936,294.1432,291.14856,294.14325
225600,29895.756,294.14316,291.14853,294.14322
226200,30029.328,294.14313,291.14853,294.1432
226800,30186.432,294.1431,291.14853,294.14316
227400,30362.848,294.14307,291.14853,294.1431
228000,30554.36,294.143,291.1485,294.14307
228600,30756.746,294.14297,291.1485,294.143
229200,30965.791,294.1429,291.1485,294.14297
229800,31177.273,294.14285,291.1485,294.1429
230400,31386.975,294.14282,291.14847,294.14288
231000,31590.678,294.14276,291.14847,294.14282
231600,31784.162,294.14273,291.14847,294.1428
232200,31963.209,294.14267,291.14847,294.14273
232800,32123.602,294.14264,291.14844,294.1427
233400,32261.117,294.1426,291.14844,294.14267
234000,32371.541,294.14258,291.14844,294.14264
234600,32450.652,294.14258,291.14844,294.1426
235200,32505.906,294.14255,291.14844,294.1426
235800,32589.18,294.14255,291.1484,294.1426
236400,32674.023,294.14252,291.1484,294.14258
237000,32756.676,294.14252,291.1484,294.14255
237600,32833.367,294.1425,291.1484,294.14255
238200,36759.67,294.1415,291.14838,294.14157
238800,38345.074,294.1411,291.14838,294.14117
239400,38349.44,294.1411,291.14838,294.14117
240000,37532.637,294.14133,291.14838,294.1414
240600,36654.508,294.14154,291.14835,294.1416
241200,36474.91,294.1416,291.14835,294.14166
241800,37313.5,294.1414,291.14835,294.14145
242400,37410.96,294.1414,291.14832,294.14142
243000,37489.254,294.14136,291.14832,294.14142
243600,37579.242,294.14133,291.14832,294.1414
244200,37679.477,294.14133,291.14832,294.14136
244800,37782.496,294.1413,291.1483,294.14136
245400,37901.676,294.14127,291.1483,294.14133
246000,38046.17,294.14124,291.1483,294.1413
246600,38210.7,294.1412,291.14825,294.14127
247200,38382.73,294.14117,291.14825,294.1412
247800,38547.938,294.14114,291.14825,294.14117
248400,38691.992,294.1411,291.14822,294.14114
249000,38800.57,294.14108,291.14822,294.1411
249600,38859.344,294.14105,291.14822,294.1411
250200,38827.598,294.14108,291.14822,294.1411
250800,38830.87,294.14108,291.14822,294.1411
251400,38890.957,294.14105,291.14822,294.1411
252000,38996.68,294.14105,291.1482,294.14108
252600,39136.86,294.14102,291.1482,294.14105
253200,39300.32,294.141,291.14816,294.14102
253800,39475.887,294.14093,291.14816,294.141
254400,39652.38,294.1409,291.14813,294.14096
255000,39818.625,294.14087,291.14813,294.1409
255600,39963.44,294.14084,291.14813,294.14087
256200,40075.656,294.1408,291.1481,294.14087
256800,40144.094,294.1408,291.1481,294.14084
257400,40157.566,294.1408,291.1481,294.14084
258000,40116.367,294.1408,291.1481,294.14084
258600,40130.223,294.1408,291.1481,294.14084
259200,40206.4,294.1408,291.1481,294.14084
259800,40336.938,294.14078,291.14807,294.1408
260400,40477.574,294.14075,291.14807,294.14078
261000,40625.563,294.14072,291.14804,294.14075
261600,40778.16,294.1407,291.14804,294.14072
262200,40932.617,294.14066,291.14804,294.1407
262800,41084.695,294.14063,291.148,294.14066
263400,41245.723,294.14056,291.148,294.14063
264000,41425.99,294.14053,291.14798,294.14056
264600,41615.46,294.1405,291.14798,294.14053
265200,41804.11,294.14044,291.14795,294.1405
265800,41981.895,294.1404,291.14795,294.14044
