Datetime,Qheat_injection_W,Qheat_losses_W,Critical_temp_K,Critical_press_drop_Pa
279000.00,104166,3753.06,322.169,-87228.3
279900.00,104031,3752.95,322.168,-86995.5
280800.00,103879,3752.85,322.166,-86732.5
281700.00,103725,3752.75,322.165,-86469.1
282600.00,103593,3752.65,322.164,-86240.7
283500.00,103589,3752.6,322.163,-86229.3
284400.00,52105.1,3735.38,321.946,-21737.2
285300.00,936.322,3618.13,320.951,-62.9451
286200.00,957.016,3463.31,319.793,-62.9451
287100.00,977.231,3327.44,318.672,-62.9451
288000.00,997.304,3207.46,317.588,-62.9451
288900.00,1018.1,3101.22,316.538,-62.9451
289800.00,1040.63,3006.85,315.523,-62.9451
290700.00,1065.38,2922.72,314.54,-62.9451
291600.00,1091.95,2847.41,313.589,-62.9451
292500.00,1119.4,2779.7,312.669,-62.9451
293400.00,1146.67,2718.58,311.779,-62.9451
294300.00,1172.78,2663.16,310.917,-62.9451
295200.00,1196.93,2612.71,310.084,-62.9451
296100.00,1218.58,2566.6,309.277,-62.9451
297000.00,1237.43,2524.26,308.496,-62.9451
297900.00,1253.49,2485.16,307.74,-62.9451
298800.00,1266.98,2448.86,307.008,-62.9451
299700.00,1278.28,2414.95,306.3,-62.9451
300600.00,1287.78,2383.09,305.614,-62.9451
301500.00,1295.85,2353.04,304.949,-62.9451
302400.00,1302.84,2324.56,304.305,-62.9451
303300.00,1308.99,2297.51,303.682,-62.9451
304200.00,1314.5,2271.73,303.077,-62.9451
305100.00,1319.55,2247.12,302.49,-62.9451
306000.00,1324.27,2223.6,301.921,-62.9451
306900.00,1328.78,2201.09,301.369,-62.9451
307800.00,1333.14,2179.55,300.834,-62.9451
308700.00,1337.42,2158.91,300.315,-62.9451
309600.00,1341.65,2139.15,299.81,-62.9451
310500.00,1345.84,2120.21,299.321,-62.9451
311400.00,1350,2102.07,298.847,-62.9451
312300.00,1354.14,2084.7,298.386,-62.9451
313200.00,1358.26,2068.06,297.94,-62.9451
314100.00,1362.37,2052.13,297.507,-62.9451
315000.00,1366.46,2036.88,297.088,-62.9451
315900.00,1370.51,2022.28,296.681,-62.9451
316800.00,1374.5,2008.31,296.288,-62.9451
317700.00,1378.43,1994.94,295.908,-62.9451
318600.00,1382.27,1982.14,295.54,-62.9451
319500.00,1386.02,1969.89,295.185,-62.9451
320400.00,194152,3160.35,302.107,-206298
321300.00,270547,3795.72,322.799,-605310
322200.00,219392,3803.82,322.695,-407606
323100.00,216681,3802.35,322.688,-396807
324000.00,214769,3801.76,322.684,-389565
324900.00,213575,3801.37,322.681,-385066
325800.00,212755,3801.1,322.679,-381996
326700.00,212247,3800.92,322.677,-380091
327600.00,211896,3800.79,322.676,-378773
328500.00,211655,3800.69,322.676,-377872
329400.00,211462,3800.64,322.675,-377158
330300.00,211324,3800.59,322.675,-376647
331200.00,211241,3800.57,322.675,-376342
332100.00,211231,3800.49,322.674,-376275
333000.00,211252,3800.39,322.673,-376304
333900.00,205893,3799.58,322.665,-357149
334800.00,198778,3797.81,322.649,-332271
335700.00,194220,3796.15,322.634,-316617
336600.00,190058,3794.8,322.623,-302730
337500.00,186371,3793.13,322.607,-290568
338400.00,172306,3790.17,322.577,-247625
339300.00,161882,3786.04,322.534,-217622
340200.00,162040,3784.44,322.522,-217622
341100.00,140454,3779.02,322.455,-162714
342000.00,132811,3774,322.4,-144737
342900.00,127793,3770.51,322.365,-133521
343800.00,131899,3769.64,322.362,-142042
344700.00,131343,3770.38,322.376,-140934
345600.00,130785,3770.47,322.374,-139766
346500.00,130311,3770.28,322.371,-138734
347400.00,129891,3770.06,322.368,-137814
348300.00,129515,3769.85,322.366,-136989
349200.00,129154,3769.66,322.364,-136201
350100.00,128839,3769.47,322.362,-135511
351000.00,128580,3769.31,322.36,-134947
351900.00,128352,3769.15,322.358,-134449
352800.00,128102,3769,322.356,-133904
353700.00,127787,3768.84,322.355,-133226
354600.00,127462,3768.72,322.353,-132535
355500.00,127161,3768.65,322.353,-131901
356400.00,126929,3768.58,322.352,-131411
357300.00,126897,3768.51,322.351,-131336
358200.00,127052,3768.44,322.35,-131646
359100.00,127281,3768.44,322.35,-132121
360000.00,127448,3768.46,322.351,-132469
360900.00,127480,3768.48,322.351,-132537
361800.00,127436,3768.5,322.351,-132449
362700.00,127324,3768.52,322.352,-132219
363600.00,127271,3768.53,322.352,-132111
364500.00,127374,3768.54,322.352,-132326
365400.00,127539,3768.62,322.353,-132678
366300.00,127741,3768.71,322.354,-133109
367200.00,127939,3768.79,322.355,-133532
368100.00,128092,3768.88,322.356,-133863
369000.00,128203,3768.95,322.357,-134105
369900.00,128300,3769.01,322.357,-134316
370800.00,64567.8,3752.62,322.142,-33799.9
371700.00,929.27,3637.09,321.147,-62.9451
372600.00,950.143,3480.85,319.981,-62.9451
373500.00,970.525,3343.77,318.852,-62.9451
374400.00,990.763,3222.73,317.761,-62.9451
375300.00,1011.72,3115.57,316.704,-62.9451
376200.00,1034.45,3020.36,315.682,-62.9451
377100.00,1059.43,2935.49,314.693,-62.9451
378000.00,1086.26,2859.52,313.736,-62.9451
378900.00,1114,2791.22,312.81,-62.9451
379800.00,1141.58,2729.56,311.914,-62.9451
380700.00,1167.99,2673.65,311.047,-62.9451
381600.00,1192.43,2622.75,310.208,-62.9451
382500.00,1214.32,2576.23,309.396,-62.9451
383400.00,1233.39,2533.52,308.61,-62.9451
384300.00,1249.67,2494.08,307.85,-62.9451
385200.00,1263.38,2457.45,307.114,-62.9451
