Time [s],T office north [K],T office south [K],T corridor [K],heating power office north [W],heating power office south [W],heating power corridor [W],cooling power office north [W],cooling power office south [W],cooling power corridor [W]
85200,291.64468,291.67297,291.76352,0,0,0,0,0,0
85800,291.6145,291.64267,291.73956,0,0,0,0,0,0
86400,291.58414,291.61218,291.71548,0,0,0,0,0,0
87000,291.55356,291.58145,291.69128,0,0,0,0,0,0
87600,291.52267,291.5504,291.66693,0,0,0,0,0,0
88200,291.4915,291.51907,291.64246,0,0,0,0,0,0
88800,291.45996,291.48743,291.6178,0,0,0,0,0,0
89400,291.42822,291.45554,291.59302,0,0,0,0,0,0
90000,291.3962,291.4234,291.56815,0,0,0,0,0,0
90600,291.36398,291.39102,291.54315,0,0,0,0,0,0
91200,291.33148,291.3584,291.51807,0,0,0,0,0,0
91800,291.299,291.32578,291.49298,0,0,0,0,0,0
92400,291.26648,291.29312,291.4679,0,0,0,0,0,0
93000,291.23386,291.26035,291.44275,0,0,0,0,0,0
93600,291.2011,291.22745,291.41757,0,0,0,0,0,0
94200,291.1686,291.19482,291.3925,0,0,0,0,0,0
94800,291.13632,291.16238,291.36746,0,0,0,0,0,0
95400,291.10413,291.13004,291.34247,0,0,0,0,0,0
96000,291.07202,291.0978,291.3175,0,0,0,0,0,0
96600,291.04007,291.0657,291.29254,0,0,0,0,0,0
97200,291.0083,291.0338,291.2676,0,0,0,0,0,0
97800,290.97668,291.00204,291.24268,0,0,0,0,0,0
98400,290.9452,290.97043,291.21777,0,0,0,0,0,0
99000,290.9138,290.93887,291.1928,0,0,0,0,0,0
99600,290.8825,290.90747,291.16782,0,0,0,0,0,0
100200,290.85135,290.87616,291.14285,0,0,0,0,0,0
100800,290.82016,290.84485,291.11774,0,0,0,0,0,0
101400,290.78897,290.81354,291.09253,0,0,0,0,0,0
102000,290.7578,290.78223,291.06726,0,0,0,0,0,0
102600,290.72665,290.75095,291.0419,0,0,0,0,0,0
103200,290.69547,290.7196,291.0164,0,0,0,0,0,0
103800,290.6642,290.68823,290.9908,0,0,0,0,0,0
104400,290.63297,290.65686,290.96512,0,0,0,0,0,0
105000,290.60193,290.6257,290.9395,0,0,0,0,0,0
105600,290.571,290.59467,290.91397,0,0,0,0,0,0
106200,290.54022,290.56372,290.88843,0,0,0,0,0,0
106800,290.5095,290.5329,290.86288,0,0,0,0,0,0
107400,290.4789,290.50217,290.83737,0,0,0,0,0,0
108000,290.44843,290.47156,290.81183,0,0,0,0,0,0
108600,290.41806,290.44107,290.78635,0,0,0,0,0,0
109200,290.38766,290.41055,290.7607,0,0,0,0,0,0
109800,290.35733,290.3801,290.73505,0,0,0,0,0,0
110400,290.32706,290.34967,290.70932,0,0,0,0,0,0
111000,290.2968,290.3193,290.68356,0,0,0,0,0,0
111600,290.2666,290.289,290.65775,0,0,0,0,0,0
112200,290.03387,290.0551,290.75296,0,0,0,0,0,0
112800,290.08197,290.09348,290.83328,16774.059,16389.229,0,0,0,0
113400,290.99252,290.9903,290.9008,38082.246,37699.16,0,0,0,0
114000,292.2978,292.28644,290.95755,47791.082,47507.535,0,0,0,0
114600,293.42838,293.42175,291.00528,46381.05,46348.82,0,0,0,0
115200,294.08694,294.0857,291.0454,38550.203,38531.258,0,0,0,0
115800,294.2403,294.24274,291.07913,28624.607,28588.291,0,0,0,0
116400,294.02765,294.03177,291.10754,20200.885,20129.334,0,0,0,0
117000,293.64566,293.65082,291.13147,15104.512,14987.067,0,0,0,0
117600,293.26675,293.2739,291.1516,13541.616,13362.875,0,0,0,0
118200,292.99875,293.00983,291.1686,14618.031,14347.402,0,0,0,0
118800,292.88,292.89597,291.18295,16985.988,16578.043,0,0,0,0
119400,292.8936,292.90988,291.1951,19400.969,18842.447,0,0,0,0
120000,292.99008,293.00235,291.20535,21026.498,20348.64,0,0,0,0
120600,293.1115,293.1181,291.21408,21553.29,20807.219,0,0,0,0
121200,293.21213,293.21326,291.22147,21116.979,20353.02,0,0,0,0
121800,293.268,293.2644,291.22775,20101.693,19363.629,0,0,0,0
122400,293.2769,293.27008,291.23303,18940.234,18259.969,0,0,0,0
123000,293.25168,293.2436,291.23743,17967.807,17359.72,0,0,0,0
123600,293.21136,293.20374,291.2411,17350.78,16813.246,0,0,0,0
124200,293.173,293.16684,291.24414,17095.3,16616.068,0,0,0,0
124800,293.1475,293.1432,291.24673,17097.494,16659.75,0,0,0,0
125400,293.13828,293.1356,291.2489,17207.377,16795.65,0,0,0,0
126000,293.1423,293.1406,291.25067,17295.059,16899.434,0,0,0,0
126600,293.1533,293.1518,291.2521,17286.732,16904.209,0,0,0,0
127200,293.16504,293.16315,291.25323,17167.719,16801.05,0,0,0,0
127800,293.17325,293.1707,291.25418,16966.066,16621.168,0,0,0,0
128400,293.17618,293.17294,291.2549,16730.074,16413.361,0,0,0,0
129000,293.1743,293.17056,291.2555,16505.93,16222.187,0,0,0,0
129600,293.16934,293.16553,291.25592,16323.844,16074.565,0,0,0,0
130200,293.16336,293.1599,291.25623,16195.202,15977.66,0,0,0,0
130800,293.15793,293.1553,291.25635,16116.723,15924.458,0,0,0,0
131400,293.15414,293.15237,291.25638,16075.341,15900.267,0,0,0,0
132000,293.15228,293.15125,291.25626,16053.666,15888.415,0,0,0,0
132600,293.15216,293.15158,291.25604,16035.677,15874.675,0,0,0,0
133200,293.15314,293.15262,291.25574,16009.178,15850.612,0,0,0,0
133800,293.1543,293.1536,291.2554,15970.473,15816.664,0,0,0,0
134400,293.15506,293.1541,291.25504,15921.047,15774.281,0,0,0,0
135000,293.15503,293.15405,291.2546,15870.484,15732.377,0,0,0,0
135600,293.15436,293.15356,291.25418,15826.07,15696.235,0,0,0,0
136200,293.15332,293.1529,291.25372,15792.374,15668.719,0,0,0,0
136800,293.15256,293.1524,291.25323,15769.184,15647.994,0,0,0,0
137400,293.15204,293.15204,291.25275,15753.59,15632.531,0,0,0,0
138000,293.15167,293.15158,291.2522,15742.034,15620.474,0,0,0,0
138600,293.15088,293.15054,291.2516,15735.3125,15615.121,0,0,0,0
139200,293.14957,293.14896,291.2509,15738.883,15622.037,0,0,0,0
139800,293.14752,293.14676,291.25006,15758.373,15646.88,0,0,0,0
140400,293.14508,293.14432,291.24905,15798.549,15693.081,0,0,0,0
141000,293.14276,293.14215,291.2479,15857.483,15757.482,0,0,0,0
141600,293.14096,293.14053,291.24658,15933.683,15837.892,0,0,0,0
142200,293.14017,293.13992,291.2451,16018.695,15925.412,0,0,0,0
142800,293.14035,293.14032,291.24347,16103.589,16011.505,0,0,0,0
143400,293.1416,293.14163,291.2417,16180.647,16088.688,0,0,0,0
144000,293.14343,293.14346,291.2398,16243.35,16151.374,0,0,0,0
144600,293.14545,293.14542,291.2378,16290.02,16198.354,0,0,0,0
145200,293.1471,293.14694,291.23566,16321.195,16230.721,0,0,0,0
145800,293.14798,293.14774,291.2334,16344.92,16256.484,0,0,0,0
146400,293.14825,293.14795,291.23105,16364.716,16278.886,0,0,0,0
147000,293.14795,293.1476,291.22855,16385.49,16302.583,0,0,0,0
147600,293.14737,293.14706,291.22586,16413.586,16333.337,0,0,0,0
